,CaseID,Opened,Closed,Updated,Status,Status Notes,Responsible Agency,Category,Request Type,Request Details,Address,Supervisor District,Neighborhood,Point,Source,Media URL
123,6222303,08/22/2016 09:15:27 AM,08/23/2016 11:10:41 AM,08/23/2016 11:10:41 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57bb2518df8641c19f4b2f26/report.jpg
124,6204770,08/17/2016 08:55:58 AM,08/18/2016 05:42:01 AM,08/18/2016 05:42:01 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Private Property,Offensive Graffiti on Private Property,Sidewalk_in_front_of_property - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57b48908df864aaa31e9f16a/report.jpg
125,6203137,08/16/2016 04:23:05 PM,08/18/2016 02:12:36 PM,08/18/2016 02:12:36 PM,Closed,Case Resolved - SES Graffiti Crew  - Clean using chemicals - Structure - Sidewalk,DPW Ops Queue,Graffiti Private Property,Offensive Graffiti on Private Property,Sidewalk_in_front_of_property - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
126,6115524,07/24/2016 02:09:27 PM,07/29/2016 02:30:18 PM,07/29/2016 02:30:18 PM,Closed,Resolved per Clear Channel - Admin Closure,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,"586 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.76148627613, -122.428566350968)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57952e80df86b7f5c562f3cb/report.jpg
127,6102743,07/20/2016 01:58:51 PM,07/21/2016 10:10:35 AM,07/21/2016 10:10:35 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,"602 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761230195726, -122.428417810621)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/578fe603df86b7f5c5629802/report.jpg
128,6101262,07/20/2016 10:20:06 AM,07/21/2016 11:10:52 AM,07/21/2016 11:10:52 AM,Closed,Case Resolved - SES Graffiti Crew  - Clean using chemicals - Structure - Sidewalk,DPW Ops Queue,Graffiti Private Property,Not_Offensive Graffiti on Private Property,Sidewalk_in_front_of_property - Not_Offensive,"586 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.76148627613, -122.428566350968)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/578fb2bddf86b7f5c5628fc2/report.jpg
129,6086493,07/15/2016 05:29:24 PM,07/16/2016 08:47:36 AM,07/16/2016 08:47:36 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Sidewalk_structure - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
130,6043396,07/02/2016 01:05:15 PM,07/05/2016 06:17:12 AM,07/05/2016 06:17:12 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57781e74df8641072988dcd6/report.jpg
131,6040743,07/01/2016 01:57:55 PM,07/02/2016 10:17:42 AM,07/02/2016 10:17:42 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5776d94ddf8641072988c682/report.jpg
132,6031601,06/29/2016 10:38:13 AM,06/29/2016 01:36:00 PM,06/29/2016 01:36:00 PM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
133,6026927,06/28/2016 08:48:00 AM,06/29/2016 01:12:11 AM,06/29/2016 01:12:11 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,"3813 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761162144303, -122.428639514853)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57729c27df86410729885ef0/report.jpg
134,6024586,06/27/2016 02:28:49 PM,06/28/2016 12:26:37 PM,06/28/2016 12:26:37 PM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Big Signal Light,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57719a89df86410729884eab/report.jpg
135,6008859,06/22/2016 05:11:41 PM,06/30/2016 03:33:21 PM,06/30/2016 03:33:21 PM,Closed,DPT Sign Shop - Sign Serviced -,DPT SignShop Survey Tech - Dave McLaughlin Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,"3813 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761162144303, -122.428639514853)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/576b2933df8692b71f5a4b81/report.jpg
136,6008107,06/22/2016 02:57:09 PM,06/23/2016 11:34:38 AM,06/23/2016 11:34:38 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,http://pic.twitter.com/GldCZuZXJt
137,6004301,06/21/2016 04:04:52 PM,06/22/2016 07:15:12 AM,06/22/2016 07:15:12 AM,Closed,Case is a Duplicate -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of CHURCH ST and 18TH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
138,5991114,06/17/2016 02:14:19 PM,06/20/2016 01:32:48 PM,06/20/2016 01:32:48 PM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57646824df8647f4a6f3f5c7/report.jpg
139,5989348,06/17/2016 08:45:49 AM,06/17/2016 03:19:17 PM,06/17/2016 03:19:17 PM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57641b23df8647f4a6f3e822/report.jpg
140,5989343,06/17/2016 08:44:38 AM,06/17/2016 12:53:33 PM,06/17/2016 12:53:33 PM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57641ae0df8647f4a6f3e804/report.jpg
141,5975979,06/13/2016 04:41:55 PM,06/14/2016 10:26:11 AM,06/14/2016 10:26:11 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Big Signal Light,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575f44bbdf860b6e6f91c33d/photo_20160613_164051.jpg
142,5972851,06/13/2016 07:26:21 AM,06/13/2016 08:02:29 AM,06/13/2016 08:02:29 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,"3803 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761088715082, -122.428521399986)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575ec288df860b6e6f91b048/report.jpg
143,5969507,06/11/2016 01:15:02 PM,08/22/2016 10:32:20 AM,08/22/2016 10:32:20 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c7140df868d2f31f824ef/report.jpg
144,5969489,06/11/2016 01:09:29 PM,06/20/2016 10:46:00 AM,06/20/2016 10:46:00 AM,Closed,Case Resolved - Completed,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Fire_Police_Callbox - Offensive,"602 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761230195726, -122.428417810621)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c6ff0df868d2f31f824a6/report.jpg
145,5969481,06/11/2016 01:07:57 PM,10/18/2016 01:45:49 PM,10/18/2016 01:45:49 PM,Closed,Case Transferred - sent to SFMTA facility maintenance on 8/17/16 for follow up,SFMTA - Muni System Feedback Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Pole - Offensive,"584 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.761528117756, -122.428446513619)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c6f96df868d2f31f8247d/report.jpg
146,5969477,06/11/2016 01:06:55 PM,10/18/2016 01:46:53 PM,10/18/2016 01:46:53 PM,Closed,Case Transferred - sent to SFMTA facility maintenance on 8/17/16 for follow up,SFMTA - Muni System Feedback Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,"584 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Mission Dolores,"(37.761528117756, -122.428446513619)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c6f56df868d2f31f8245d/report.jpg
147,5969475,06/11/2016 01:06:27 PM,07/01/2016 03:10:17 PM,07/01/2016 03:10:17 PM,Closed,DPT Sign Shop - Sign Serviced -,DPT SignShop Surveyed - Area 2 Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,"574 CHURCH ST, SAN FRANCISCO, CA, 94114",8,,"(37.761658325, -122.428633921)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c6f3edf868d2f31f82453/report.jpg
148,5969414,06/11/2016 12:43:06 PM,09/21/2016 11:07:10 AM,09/21/2016 11:07:10 AM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Signal_box - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c69c2df868d2f31f82367/report.jpg
149,5969411,06/11/2016 12:42:13 PM,06/16/2016 12:36:30 PM,06/16/2016 12:36:30 PM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Bike_rack - Offensive,"3813 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761162144303, -122.428639514853)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c698cdf868d2f31f82357/report.jpg
150,5969408,06/11/2016 12:41:46 PM,06/16/2016 12:44:04 PM,06/16/2016 12:44:04 PM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Bike_rack - Offensive,"3813 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761162144303, -122.428639514853)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c6973df868d2f31f82347/report.jpg
151,5969400,06/11/2016 12:38:30 PM,06/24/2016 01:55:35 PM,06/24/2016 01:55:35 PM,Closed,DPT Sign Shop - Sign Serviced -,DPT SignShop Survey Tech - Dave McLaughlin Queue,Graffiti Public Property,Offensive Graffiti on Public Property,Other_enter_additional_details_below - Offensive,"3815 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761145554697, -122.428780499409)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/575c68aedf868d2f31f82320/report.jpg
152,5928650,06/01/2016 08:23:12 AM,06/01/2016 12:10:42 PM,06/01/2016 12:10:42 PM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Big Signal Light,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/574efdd9df86fb012698e90f/report.jpg
153,5906006,05/25/2016 08:27:43 AM,05/26/2016 05:34:57 AM,05/26/2016 05:34:57 AM,Closed,Case is a Duplicate -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5745c468df86b69c36c107b6/report.jpg
154,5891382,05/20/2016 09:51:43 PM,05/26/2016 07:04:31 AM,05/26/2016 07:04:31 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,
155,5857620,05/12/2016 08:39:54 AM,05/23/2016 03:52:05 PM,05/23/2016 03:52:05 PM,Closed,Resolved per Clear Channel - Admin Closure,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5734a3c1df86c4a39493f3c7/report.jpg
156,5847751,05/09/2016 03:09:29 PM,05/11/2016 11:25:17 AM,05/11/2016 11:25:17 AM,Closed,Case Resolved - SES Graffiti Crew  - Removed Stickers - Pole - MUNI,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Pole - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57310a8ed6f174bcff5afb/report.jpg
157,5847743,05/09/2016 03:08:01 PM,05/11/2016 11:31:09 AM,05/11/2016 11:31:09 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Box - Sub Panel - High Voltage,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,"602 CHURCH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761230195726, -122.428417810621)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57310adf86f174bcff5ad0/report.jpg
158,5839502,05/06/2016 02:36:08 PM,05/06/2016 06:49:37 PM,05/06/2016 06:49:37 PM,Closed,Case Resolved -,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Signal_box - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
159,5839494,05/06/2016 02:34:57 PM,05/07/2016 09:35:35 AM,05/07/2016 09:35:35 AM,Closed,Case Resolved - SES Graffiti Crew  - Paint - Misc - City Garbage Can,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,City_receptacle - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
160,5821954,05/02/2016 01:12:06 PM,05/02/2016 01:39:17 PM,05/02/2016 01:39:17 PM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
161,5815173,04/29/2016 06:10:34 PM,05/02/2016 05:36:23 AM,05/02/2016 05:36:23 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
162,5772886,04/18/2016 08:47:39 AM,04/19/2016 02:19:37 AM,04/19/2016 02:19:37 AM,Closed,Case Resolved - done,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,City_receptacle - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/57150193df86f516b6364451/report.jpg
163,5743798,04/08/2016 01:47:27 PM,04/11/2016 05:54:55 AM,04/11/2016 05:54:55 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/570818d0df861a9671514c8c/report.jpg
164,5729091,04/04/2016 02:17:03 PM,04/05/2016 05:50:06 AM,04/05/2016 05:50:06 AM,Closed,Case is a Duplicate -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/5702d9c3df86ad059425bbd6/report.jpg
165,5675638,03/17/2016 03:01:36 PM,03/24/2016 12:00:00 PM,03/24/2016 12:00:00 PM,Closed,Case Resolved - condition not found - photo,DPW BSM Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Sidewalk_structure - Not_Offensive,"3813 18TH ST, SAN FRANCISCO, CA, 94114",8,Dolores Heights,"(37.761215335856, -122.42867087056)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56eb2937df86ba9da056df5b/report.jpg
166,5675635,03/17/2016 03:00:26 PM,03/21/2016 08:31:23 AM,03/21/2016 08:31:23 AM,Closed,Case Resolved - SES Graffiti Crew  - Scrape - Pole - Sign (Comment),DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Pole - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56eb28f3df86ba9da056df35/report.jpg
167,5623788,03/02/2016 04:42:13 PM,03/03/2016 03:32:36 PM,03/03/2016 03:32:36 PM,Closed,Case Completed - Case Resolved:,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Pole - Not_Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
168,5598440,02/24/2016 09:10:55 AM,02/25/2016 05:32:54 AM,02/25/2016 05:32:54 AM,Closed,Scheduled -,Clear Channel - Transit Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,Transit_Shelter_Platform - Not_Offensive,Intersection of CHURCH ST and 18TH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Twitter,http://pic.twitter.com/gvhg30Mgoe
169,5529135,02/02/2016 03:34:48 PM,02/03/2016 03:00:00 AM,02/03/2016 03:00:00 AM,Closed,Case Completed - resolved: 1098 - cmp,DPW Ops Queue,Graffiti Public Property,Offensive Graffiti on Public Property,City_receptacle - Offensive,Intersection of 18TH ST and CHURCH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Open311,http://mobile311.sfgov.org/media/san_francisco/report/photos/56b13d0ddf8648dfdd119904/report.jpg
170,5524594,02/01/2016 01:24:19 PM,02/02/2016 02:40:00 AM,02/02/2016 02:40:00 AM,Closed,Case Completed - resolved: 10-98,DPW Ops Queue,Graffiti Public Property,Not_Offensive Graffiti on Public Property,City_receptacle - Not_Offensive,Intersection of CHURCH ST and 18TH ST,8,Mission Dolores,"(37.7612895823341, -122.428354118317)",Voice In,
